strategy,removed,largest_component,components_min2,seeds_outside_largest,turnover_share_in_largest
priority,0,1877,16,35,0.935050025363
priority,5,1685,47,35,0.785787082628
priority,10,1540,80,35,0.708181139317
priority,20,1351,101,35,0.631143810735
priority,30,1321,104,35,0.599912103214
priority,50,1248,114,35,0.53967413173
priority,80,1048,143,38,0.436438099014
random,0,1877,16,35,0.935050025363
random,5,1865.2,17.2,35,0.929144724138
random,10,1858.6,17.6,35.2,0.92574128109
random,20,1841,18.6,35.2,0.914322617166
random,30,1827.2,19,35.2,0.905220153889
random,50,1804.8,19.2,34.6,0.896314982009
random,80,1746.8,22.2,35.4,0.852749733703
